timestamp,open,high,low,close,volume
2022-02-15 14:10:00,130.2000,130.2100,130.0609,130.0750,34731
2022-02-15 14:05:00,130.2400,130.2400,130.1200,130.1750,45257
2022-02-15 14:00:00,130.2400,130.3164,130.2300,130.2400,26470
2022-02-15 13:55:00,130.2800,130.3000,130.1900,130.2500,24174
2022-02-15 13:50:00,130.1900,130.3000,130.1500,130.2999,28396
2022-02-15 13:45:00,130.2400,130.3000,130.1900,130.1900,34017
2022-02-15 13:40:00,130.3800,130.3900,130.2400,130.2400,44909
2022-02-15 13:35:00,130.3900,130.4300,130.3600,130.3900,18093
2022-02-15 13:30:00,130.1800,130.3800,130.1700,130.3700,30197
2022-02-15 13:25:00,130.2100,130.2600,130.1400,130.1704,41670
2022-02-15 13:20:00,130.2300,130.2300,130.1500,130.1800,23080
2022-02-15 13:15:00,130.1700,130.2400,130.1400,130.2300,25999
2022-02-15 13:10:00,130.1750,130.2314,130.1550,130.1700,28489
2022-02-15 13:05:00,130.2500,130.2500,130.1100,130.1900,16564
2022-02-15 13:00:00,130.1150,130.2500,130.1100,130.2100,19225
2022-02-15 12:55:00,130.0503,130.2200,130.0300,130.1100,46718
2022-02-15 12:50:00,130.2600,130.2700,130.0700,130.0700,65844
2022-02-15 12:45:00,130.2500,130.3300,130.2100,130.2400,57877
2022-02-15 12:40:00,130.3000,130.3400,130.2200,130.2500,24750
2022-02-15 12:35:00,130.3600,130.4000,130.2700,130.2822,46731
2022-02-15 12:30:00,130.2800,130.3800,130.2400,130.3600,21572
2022-02-15 12:25:00,130.3800,130.4000,130.2400,130.3004,25034
2022-02-15 12:20:00,130.3745,130.4550,130.2700,130.3500,34911
2022-02-15 12:15:00,130.5400,130.5600,130.3700,130.3700,24395
2022-02-15 12:10:00,130.5700,130.6100,130.4700,130.5155,19711
2022-02-15 12:05:00,130.5900,130.6196,130.5300,130.5500,38352
2022-02-15 12:00:00,130.5000,130.6100,130.4800,130.5700,30014
2022-02-15 11:55:00,130.5300,130.5500,130.4000,130.4900,34315
2022-02-15 11:50:00,130.5900,130.6450,130.4600,130.5300,29719
2022-02-15 11:45:00,130.5900,130.6500,130.5300,130.5899,33158
2022-02-15 11:40:00,130.7200,130.7700,130.5900,130.6050,29976
2022-02-15 11:35:00,130.7300,130.7550,130.6450,130.7300,37892
2022-02-15 11:30:00,130.7100,130.7532,130.6900,130.7200,22591
2022-02-15 11:25:00,130.7400,130.7900,130.6300,130.7300,24048
2022-02-15 11:20:00,130.8000,130.9000,130.7300,130.7312,47635
2022-02-15 11:15:00,131.0600,131.0800,130.7400,130.8110,41131
2022-02-15 11:10:00,131.2100,131.2230,130.9600,131.0683,48968
2022-02-15 11:05:00,131.2000,131.2800,131.0950,131.2150,43652
2022-02-15 11:00:00,131.1600,131.3000,131.1300,131.2000,58651
2022-02-15 10:55:00,131.2200,131.2500,131.0800,131.1500,29600
2022-02-15 10:50:00,131.0850,131.2700,131.0750,131.2200,32477
2022-02-15 10:45:00,130.9300,131.1000,130.8500,131.0700,26227
2022-02-15 10:40:00,131.2100,131.2100,130.8800,130.9000,34237
2022-02-15 10:35:00,131.1800,131.1900,130.9600,131.1900,30783
2022-02-15 10:30:00,131.1200,131.1900,130.9900,131.1650,42529
2022-02-15 10:25:00,131.1024,131.1600,131.0001,131.1100,31786
2022-02-15 10:20:00,130.7900,131.1400,130.7900,131.1099,29726
2022-02-15 10:15:00,130.7200,130.8200,130.6212,130.7950,35612
2022-02-15 10:10:00,130.6200,130.7800,130.4800,130.7100,47888
2022-02-15 10:05:00,130.6500,130.8200,130.4200,130.5450,53830
2022-02-15 10:00:00,131.1050,131.1150,130.6200,130.6400,54172
2022-02-15 09:55:00,131.4300,131.4850,130.9904,131.1200,45664
2022-02-15 09:50:00,131.2900,131.6800,131.2900,131.4550,65533
2022-02-15 09:45:00,131.1700,131.4900,131.1600,131.2550,62575
2022-02-15 09:40:00,131.2150,131.3600,131.0100,131.1600,59788
2022-02-15 09:35:00,130.6400,131.1800,130.4500,131.1800,147722
2022-02-15 09:30:00,131.1500,131.1500,131.1500,131.1500,544
2022-02-15 09:25:00,131.7500,131.7500,131.2500,131.2500,245
2022-02-15 09:20:00,131.4600,131.5000,131.4600,131.5000,2977
2022-02-15 09:05:00,131.3900,131.3900,131.3900,131.3900,303
2022-02-15 09:00:00,131.8100,131.8100,131.8100,131.8100,100
2022-02-15 08:55:00,131.1500,131.1500,131.1500,131.1500,537
2022-02-15 08:45:00,131.3800,131.4500,131.3800,131.4500,1880
